#Jahr	Monat	Tag	Stunde	T_Mid	p_Mid	cor_p_Mid	Ns	I_Mid	L_Mid	v_Mid	R_Mid	N	NNO	NO	ONO	O	OSO	SO	SSO	S	SSW	SW	WSW	W	WNW	NW	NNW	
2023     01      01     00  15.8    982.7    1010.0    0.0    0.0    44.7    5.9    213.4    20  40  6   9   13  9   11  8   83  378 69  10  13  33  19  0   
2023     01      01     01  15.0    983.2    1010.5    0.0    0.0    44.0    5.0    213.5    25  34  11  6   13  24  16  8   93  343 66  11  16  32  22  0   
2023     01      01     02  14.7    983.5    1010.8    0.0    0.0    44.2    4.9    207.2    24  46  14  28  25  16  11  11  85  284 80  16  19  40  22  0   
2023     01      01     03  14.6    983.6    1011.0    0.0    0.0    46.2    5.4    211.2    34  29  13  14  23  11  13  7   98  322 71  15  13  39  19  0   
2023     01      01     04  14.4    983.9    1011.3    0.0    0.0    49.1    5.5    204.9    23  44  18  15  18  18  6   10  110 312 62  13  9   38  25  0   
2023     01      01     05  14.1    984.2    1011.6    0.0    0.0    51.7    5.8    209.4    25  35  9   10  17  23  11  7   91  357 61  12  13  30  20  0   
2023     01      01     06  14.0    984.8    1012.2    0.1    0.1    54.9    5.9    202.8    27  42  13  7   15  14  16  7   107 363 48  8   12  25  16  0   
2023     01      01     07  13.6    985.4    1012.8    0.0    0.0    58.5    5.2    205.5    29  31  18  15  19  22  12  6   102 324 67  14  21  29  12  0   
2023     01      01     08  13.0    986.6    1014.0    0.0    0.0    63.8    5.3    209.1    22  42  13  8   11  16  8   9   100 353 77  13  10  27  12  0   
2023     01      01     09  12.7    987.2    1014.6    0.0    0.0    65.8    4.4    206.1    37  49  16  18  20  15  13  5   70  291 84  25  15  37  26  0   
2023     01      01     10  12.8    987.9    1015.4    0.0    0.0    65.1    5.0    209.4    24  45  9   15  18  10  15  9   82  344 60  19  10  42  18  0   
2023     01      01     11  13.0    987.7    1015.2    0.0    0.0    64.1    5.3    210.4    32  28  11  20  18  27  5   6   81  352 66  14  13  31  17  0   
2023     01      01     12  13.0    988.1    1015.6    0.0    0.0    62.9    4.8    203.4    30  34  27  19  27  19  7   11  90  331 56  9   8   39  14  0   
2023     01      01     13  13.1    987.9    1015.4    0.0    0.0    61.2    4.1    202.3    24  38  20  28  28  16  11  12  97  305 58  17  23  30  14  0   
2023     01      01     14  13.2    987.7    1015.2    0.0    0.0    60.6    3.8    209.2    17  27  19  19  12  13  9   9   89  353 86  19  11  28  10  0   
2023     01      01     15  12.8    987.9    1015.4    0.0    0.0    63.4    3.2    206.3    32  52  23  23  18  13  9   7   61  261 117 36  18  34  16  0   
2023     01      01     16  11.3    988.2    1015.7    0.3    0.2    76.1    1.9    204.9    25  52  31  40  30  11  7   4   40  218 139 41  29  35  19  0   
2023     01      01     17  10.8    987.8    1015.3    0.4    0.3    81.3    1.5    198.4    24  44  31  37  32  34  18  6   30  195 177 33  22  21  17  0   
2023     01      01     18  10.7    987.1    1014.6    0.5    0.4    81.4    1.3    202.8    31  43  38  35  39  25  12  7   42  159 153 52  22  37  26  0   
2023     01      01     19  10.9    986.6    1014.0    0.7    0.7    80.4    1.6    197.8    24  74  35  35  25  17  10  8   28  181 163 37  26  29  29  0   
2023     01      01     20  11.1    985.5    1012.9    0.0    0.0    78.2    1.1    200.9    30  55  22  24  31  37  26  11  40  167 166 49  19  27  16  0   
2023     01      01     21  12.5    984.7    1012.1    0.0    0.0    71.5    2.3    205.9    28  48  18  33  26  28  11  3   35  220 159 31  23  32  26  0   
2023     01      01     22  13.4    984.3    1011.7    0.0    0.0    66.8    2.7    204.4    36  47  22  40  27  13  8   1   37  262 112 36  26  30  24  0   
2023     01      01     23  14.1    984.0    1011.4    0.0    0.0    63.3    2.9    203.1    31  60  32  37  22  20  6   7   29  222 129 30  29  40  27  0   
2023     01      02     00  14.5    983.9    1011.3    0.4    0.4    61.8    3.7    209.6    39  35  11  23  25  22  10  8   65  283 115 24  14  22  24  0   
2023     01      02     01  14.1    983.6    1010.9    0.1    0.1    64.1    3.5    212.5    22  46  13  17  15  27  15  6   65  281 128 16  19  29  22  0   
2023     01      02     02  13.6    983.5    1010.8    0.5    0.5    66.6    3.6    208.0    26  35  18  24  27  23  10  6   74  271 113 27  12  33  22  0   
