temperature,COP
-10,3.3278254762255903
-9,3.3923108421080057
-8,3.4593074991163557
-7,3.528960209108061
-6,3.6014250970394968
-5,3.676870787547791
-4,3.7554796807432975
-3,3.837449387493378
-2,3.9229943479516223
-1,4.012347661220108
0,4.105763158987412
1,4.203517761959298
2,4.305914165118441
3,4.413283906620384
4,4.525990885825963
5,4.644435409071591
6,4.769058857900861
7,4.900349094424531
8,5.038846743268445
9,5.1851525205594085
10,5.3399358193602
11,5.50394481023841
12,5.678018378366182
13,5.863100298894072
14,6.060256156024413
15,6.270693645984558
16,6.49578708071044
17,6.737107142427162
18,6.996457250476154
19,7.275918320621765
20,7.5779042667408305
